id,name,country,lat,lon
1683642,Tambak,PH,6.72639,124.626389
1683663,Tamayo,PH,15.88333,120.283333
1683690,Taluya,PH,5.81167,125.172783
1683701,Talusan,PH,7.42667,122.81028
1683713,Taluksangay,PH,6.95417,122.183891
1683718,Talugtug,PH,15.7778,120.811096
1683733,Taltal,PH,15.5878,119.945503
1683737,Taloy,PH,16.33333,120.5
1683742,Platagata,PH,11.303,123.1567
1683747,Talospatang,PH,15.9179,120.4496
1683771,Talon,PH,11.56,122.681107
1683779,Talomo,PH,7.52861,125.722778
1683784,Talokgañgan,PH,11.00778,122.845001
1683800,Taloc,PH,10.57222,122.896667
1683801,Talubatib,PH,14.1825,122.785301
1683818,Talitay,PH,7.03333,124.699997
1683852,Talisayan,PH,10.95,124.699997
1683859,Talisay,PH,14.1343,122.9226
1683892,City of Talisay,PH,10.3,123.816673
1683900,Talipao,PH,5.97639,121.116112
1683911,Talipan,PH,13.93333,121.683327
1683931,Tal I Mun Doc,PH,15.2121,120.684898
1683949,Taligaman,PH,8.90444,125.65583
1683961,Talibon,PH,10.14917,124.324997
1684007,Talayan,PH,6.98056,124.381943
1684010,Talay,PH,9.2896,123.265701
1684016,Talavera,PH,15.5883,120.919197
1684052,Talangnan,PH,9.634,123.334396
1684062,Talang,PH,15.0228,120.837502
1684077,Talalora,PH,11.5293,124.836197
1684086,Talakag,PH,8.23361,124.600281
1684095,Talaibon,PH,13.8378,121.139801
1684100,Talahib Payap,PH,13.66083,121.136391
1684103,Talahiban I,PH,13.80694,121.388062
1684122,Talaga,PH,15.38506,120.585732
1684137,Talacogon,PH,8.45611,125.784172
1684154,Talaban,PH,10.1275,122.86972
1684177,Tala,PH,13.28333,122.583328
1684190,Tacub,PH,8.1875,124.108063
1684191,Takub,PH,6.85639,125.422501
1684210,Tajao,PH,10.3148,123.583504
1684245,Tagusao,PH,9.19238,117.814102
1684268,Tagum Norte,PH,10.07454,124.389252
1684269,Magugpo Poblacion,PH,7.44778,125.807777
1684292,Taguisa,PH,6.69833,124.035828
1684300,Taguing,PH,17.944691,121.75885
1684308,Taguig,PH,14.5243,121.079201
1684309,Taguig City,PH,14.53333,121.066673
1684320,Tagudin,PH,16.935499,120.444199
1684348,Tagasilay,PH,7.3025,122.258614
1684361,Taypano,PH,8.37083,124.559441
1684364,Tagoytoy,PH,13.4158,123.678001
1684379,Tagoloan,PH,8.53889,124.756943
1684395,Tago,PH,9.02111,126.231667
1684409,Patikul,PH,6.08917,121.105278
1684422,Tagkawayan Sabang,PH,13.99111,122.528893
1684454,Tagdanua,PH,7.2043,125.884102
1684462,Tagcatong,PH,9.00222,125.256943
1684463,Tagburos,PH,9.82861,118.731941
1684466,Tagbubungang Diot,PH,11.1257,124.402802
1684491,Tagbina,PH,8.45194,126.171387
1684495,Tagbilaran City,PH,9.65,123.849998
1684538,Tagbacan Ibaba,PH,13.63222,122.363892
1684542,Tagbak,PH,13.84166,120.088722
1684552,Tagaytay City,PH,14.10594,120.933723
1684562,Tugaya,PH,7.88277,124.174004
1684577,Tagas,PH,13.16667,123.716667
1684583,Tagapul-an,PH,12.05,124.150002
1684606,Taganak,PH,6.08333,118.300003
1684610,Tagana-an,PH,9.69722,125.585564
1684629,Tagakpan,PH,7.11278,125.429169
1684645,Tayabas Ibaba,PH,13.61667,122.26667
1684659,Taft,PH,11.90111,125.418892
1684672,Tadian,PH,16.9956,120.820297
1684681,Tacurong,PH,6.6925,124.676392
